product_name;product_type;client_type;over;under;term_months;term_days;currency;interest
Otwarte Konto Oszczędnościowe;savings;retail;0;200000;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe;savings;retail;200000;inf;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe Bonus;savings;retail;0;200000;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe Bonus;savings;retail;200000;inf;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe Premium;savings;retail;0;100000;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe Premium;savings;retail;100000;199999;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe Premium;savings;retail;200000;499999;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe Premium;savings;retail;500000;999999;NA;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe Premium;savings;retail;1000000;inf;NA;NA;PLN;FILL_IN
Indywidualne Konto Zabezpieczenia Emerytalnego;savings;retail;0;inf;NA;NA;PLN;FILL_IN
Smart Saver;savings;retail;0;5000;NA;NA;PLN;FILL_IN
Smart Saver;savings;retail;5000;inf;NA;NA;PLN;FILL_IN
Lokata terminowa;deposit;retail;1000;inf;3;NA;PLN;FILL_IN
Lokata terminowa;deposit;retail;1000;inf;6;NA;PLN;FILL_IN
Lokata terminowa;deposit;retail;1000;inf;12;NA;PLN;FILL_IN
Lokata terminowa Plus;deposit;retail;1000;50000;6;NA;PLN;FILL_IN
Lokata terminowa Plus;deposit;retail;1000;100000;12;NA;PLN;FILL_IN
Lokata z Funduszem;deposit;retail;0;inf;3;NA;PLN;FILL_IN
Lokata z Funduszem;deposit;retail;0;inf;3;NA;PLN;FILL_IN
Otwarte Konto Oszczędnościowe;savings;retail;0;inf;NA;NA;EUR;FILL_IN
Otwarte Konto Oszczędnościowe;savings;retail;0;inf;NA;NA;USD;FILL_IN
Otwarte Konto Oszczędnościowe;savings;retail;0;inf;NA;NA;GBP;FILL_IN
Otwarte Konto Oszczędnościowe Premium;savings;retail;0;25000;NA;NA;EUR;FILL_IN
Otwarte Konto Oszczędnościowe Premium;savings;retail;25000;inf;NA;NA;EUR;FILL_IN
Lokata terminowa;deposit;retail;500;inf;12;NA;EUR;FILL_IN
Lokata terminowa;deposit;retail;500;inf;12;NA;USD;FILL_IN
